Pesquisador Responsável,Pesquisadores Principais (Atuais),Pesquisadores Principais (Últimos),Pesquisadores Principais (Anteriores),Pesquisadores Associados
Rita Maria Borges de Moraes,Não Informado,Miriam Verginia Lourenço,Não Informado,Não Informado
Daniel Blasioli Dentillo,Não Informado,Dante Gavio,Dante Gavio,Regina Célia Moreira
Raysildo Barbosa Lôbo,Não Informado,Não Informado,Não Informado,Fernando Sebastián Baldi Rey - Luiz Antonio Framartino Bezerra - Washington Luiz Olivato Assagra
Thaís Carvalho Maester Casanova,Não Informado,Não Informado,Não Informado,Não Informado
Luiz Carlos de Oliveira,Não Informado,Não Informado,Não Informado,Não Informado
Marcos Tadeu dos Santos,Não Informado,Não Informado,Não Informado,Ana Lígia Buzolin - André Lopes Carvalho - Cristiano Claudino Oliveira - Cristovam Scapulatempo Neto - David Livingstone Alves Figueiredo - Edna Teruko Kimura - Fabiano Mesquita Callegari - Gabriela Brenta - Gisah Amaral de Carvalho - Gláucia Maria Ferreira da Silva Mazeto - Icleia Siqueira Barreto - Laura Sterian - Léa Maria Zanini Maciel - Mauro Tadeu Ajaj Saieg - Ricardo Ribeiro Gama
Daniel Roberto Callejon,Não Informado,Não Informado,Não Informado,Fernando de Queiroz Cunha - José Carlos Farias Alves Filho - Thiago Mattar Cunha
Mario Sérgio Adolfi Júnior,Não Informado,Não Informado,Não Informado,Não Informado
Felipe Wilker Grillo,Não Informado,Não Informado,Não Informado,Não Informado
Caio Margarido Moreira,Não Informado,Milton Augusto Vendramini de Ávila,Milton Augusto Vendramini de Ávila,Julio Cesar Anastacio - Marco Antonio Di Bonifacio
Franciane Marquele de Oliveira,Não Informado,Não Informado,Não Informado,Anderson Rodrigo Moraes de Oliveira - CAMILA INDIANI DE OLIVEIRA - Denise Crispim Tavares - Eduardo Barbosa Coelho - Jéssica Rebouças Silva - Maraine Catarina Tadini - Nayara Cristina Perez de Albuquerque - Valeria de Matos Borges
Andresa Aparecida Berretta e Silva,Não Informado,"Carlos Pamplona Rehder, Guilherme Jorge Gomes de Sousa, Joyce Mayra Volpini Almeida Dias","Carlos Pamplona Rehder, Guilherme Jorge Gomes de Sousa, Joyce Mayra Volpini Almeida Dias",Andresa Piacezzi Nascimento Rodrigues - Breno Magalhães Freitas - Bruno Alves Rocha - Cristiano Menezes - Fernando Barbosa Júnior
Thaila Fernanda dos Reis,Não Informado,Não Informado,Não Informado,Andresa Aparecida Berretta e Silva - Gustavo Henrique Goldman
Tais Aleriana Lucon Wagemaker,Não Informado,Não Informado,Não Informado,Patrícia Mazureki Campos
Juan Harold Sosa Arnao,Não Informado,"Delia Rita Tapia Blácido, Leonardo Paes Rangel, Reynaldo Palacios Bereche, Silvia Azucena Nebra de Pérez, Song Won Park",Não Informado,Carolina Lopez Castrillon - Edgar Fernando Cortes Rodriguez
Stefano Guimarães Velludo,Não Informado,Não Informado,Não Informado,Alexsander Robles Garcia - Bruno Ferreira da Silva
Thais Guaratini,Não Informado,Não Informado,Não Informado,Não Informado
Flavio Barbosa,Não Informado,Não Informado,Não Informado,Fabio Carmona - Marco Andrey Cipriani Frade
Alexandre Martinewski,Não Informado,Não Informado,Não Informado,Não Informado
Andréia Bagliotti Meneguin,Não Informado,Não Informado,Não Informado,Hernane da Silva Barud - Luis Alexandre Pedro de Freitas
Diego Fiori de Carvalho,Não Informado,Harley Francisco de Oliveira,Não Informado,Alexandre Colello Bruno
Hugo Cesar Pessotti,Não Informado,Não Informado,Não Informado,Não Informado
Rafael Mira de Oliveira Libardi,Não Informado,"Edgard Regolão Jr., Paul Chu Ngum",Não Informado,Stephan Reiff-Marganiec
Luciana Alves Tacon,Não Informado,Não Informado,Não Informado,Daniel Júnior de Andrade - Luis Alexandre Pedro de Freitas - Ricardo Antonio Polanczyk
Carlos Eduardo Junqueira Fonseca,Não Informado,Não Informado,Não Informado,Não Informado
Carolina Caliári Oliveira,Não Informado,Não Informado,Não Informado,Maria Beatriz Puzzi - Paula Tavares Colpas
Caio Margarido Moreira,Não Informado,Não Informado,Não Informado,João Pereira Leite - Marco Antonio Di Bonifacio - Victor Cavallari Souza
Ana Lígia Buzolin,Não Informado,Não Informado,Não Informado,Flavio Mavignier Cárcano - Marcos Tadeu dos Santos - Mariana Andozia Morini - Wesley Justino Magnabosco
Ana Luiza Scarano Aguillera Forte,Não Informado,Não Informado,Não Informado,Maria José Vieira Fonseca
Camillo Del Cistia Andrade,Não Informado,Não Informado,Não Informado,Não Informado
Juliana Issa Hori,Não Informado,Não Informado,Não Informado,Franciane Marquele de Oliveira - Thiago Mattar Cunha
Alessandra Aparecida Vireque,Não Informado,Não Informado,Não Informado,Não Informado
Mário César Souza e Silva,Não Informado,André Luiz Scridelli Silva,Não Informado,Álvaro de Baptista Neto - Luiz Alberto Beraldo de Moraes
Franciane Marquele de Oliveira,Não Informado,Andresa Aparecida Berretta e Silva,Não Informado,Anderson Rodrigo Moraes de Oliveira - Hernane da Silva Barud - Juliana Issa Hori - Lúcia Helena Faccioli - Sofia Nikolaou
Daniel Blasioli Dentillo,Não Informado,Dante Gavio,Não Informado,Benedito Antônio Lopes da Fonseca - Simone Kashima Haddad
Flavio Barbosa,Não Informado,Não Informado,Não Informado,Fabio Carmona - Marco Andrey Cipriani Frade
Reginaldo Aparecido Gotardo,Não Informado,Não Informado,Não Informado,Não Informado
Diego Fiori de Carvalho,Não Informado,Harley Francisco de Oliveira,Não Informado,Não Informado
Marcos Tadeu dos Santos,Não Informado,Não Informado,Não Informado,André Lopes Carvalho - Cristovam Scapulatempo Neto - Ricardo Ribeiro Gama
Thais Guaratini,Não Informado,Não Informado,Não Informado,Não Informado
Rogerio Bulha Siqueira,Não Informado,"Antonio Adilton Oliveira Carneiro, Rodrigo Pereira Barretto da Costa-Félix",Não Informado,Altacílio Aparecido Nunes - Jorge Elias Júnior - Marcello Henrique Nogueira Barbosa
Carolina Caliári Oliveira,Não Informado,Não Informado,Não Informado,Maria Beatriz Puzzi
Luciana Alves Tacon,Não Informado,Não Informado,Não Informado,Daniel Júnior de Andrade - Luis Alexandre Pedro de Freitas - Ricardo Antonio Polanczyk
Danilo Marques de Lima,Não Informado,Não Informado,Não Informado,Fernanda Ribeiro de Faria - Hubertt Kenned Elias Junior - Roseli Aparecida Ferrari
Felipe Wilker Grillo,Não Informado,Michelle Ferreira da Costa Abrahao,Não Informado,Não Informado
Daniela Spuri Bernardi,Não Informado,Não Informado,Não Informado,Harley Francisco de Oliveira - Peter van Hoogevest - Renata Fonseca Vianna Lopez
Juca Abramo Barrera San Martin,Não Informado,Não Informado,Não Informado,Norberto Peporine Lopes - Pablo Henrique Nunes - Túlio Marcos Nunes
Mirela de Barros Tamarozzi,Não Informado,Não Informado,Não Informado,Não Informado
Henrique Croisfelts,Não Informado,Não Informado,Não Informado,Não Informado
Carlos Eduardo Junqueira Fonseca,Não Informado,Não Informado,Não Informado,Não Informado
Sandra Rodrigues Pereira Faça,Não Informado,Não Informado,Não Informado,Não Informado
Franciane Marquele de Oliveira,Não Informado,Não Informado,Não Informado,Não Informado
Alessandra Aparecida Vireque,Não Informado,Não Informado,Não Informado,Não Informado
Luana Martins de Andrade da Cruz,Não Informado,Não Informado,Não Informado,Não Informado
Joel Aires Prates,Não Informado,Não Informado,Não Informado,Não Informado
Camillo Del Cistia Andrade,Não Informado,Não Informado,Não Informado,Não Informado
Fernando Lucas Primo,Não Informado,Não Informado,Não Informado,Não Informado
Maria Paula Garofo Peixoto,Não Informado,Não Informado,Não Informado,Não Informado
Cristiane Cardoso Correia Teixeira,Não Informado,Não Informado,Não Informado,Não Informado
Andresa Aparecida Berretta e Silva,Não Informado,Não Informado,Não Informado,Não Informado
Andresa Piacezzi Nascimento Rodrigues,Não Informado,Não Informado,Não Informado,Não Informado
Mario Tsukada,Não Informado,Não Informado,Não Informado,Não Informado
Thiago Antônio Moretti de Andrade,Não Informado,Não Informado,Não Informado,Não Informado
Hernane da Silva Barud,Não Informado,Não Informado,Não Informado,Não Informado
Sandro Gomes Soares,Não Informado,Não Informado,Não Informado,Não Informado
Sandra Rodrigues Pereira Faça,Não Informado,Não Informado,Não Informado,Não Informado
Fabiana Carina Pavezzi,Não Informado,Não Informado,Não Informado,Não Informado
Mario Sérgio Adolfi Júnior,Não Informado,Não Informado,Não Informado,Não Informado
Fernando Agostini Funk Thomaz,Não Informado,Não Informado,Não Informado,Não Informado
Andrea Fontoura,Não Informado,Não Informado,Não Informado,Não Informado
Gustavo Olszanski Acrani,Não Informado,Não Informado,Não Informado,Não Informado
Álvaro de Baptista Neto,Não Informado,Não Informado,Não Informado,Não Informado
Ebert Seixas Hanna,Não Informado,Não Informado,Não Informado,Não Informado
Andresa Aparecida Berretta e Silva,Não Informado,Não Informado,Não Informado,Não Informado
Leandro de Santis Ferreira,Não Informado,Não Informado,Não Informado,Não Informado
Eloisa Aparecida Mocheuti Kronka,Não Informado,Não Informado,Não Informado,Não Informado
Nínive Aguiar Colonello Frattini,Não Informado,Não Informado,Não Informado,Não Informado
Patricia de Oliveira Carminati,Não Informado,Não Informado,Não Informado,Não Informado
Thiago Wellington Joazeiro de Almeida,Não Informado,Não Informado,Não Informado,Não Informado
Camila Alves Areda,Não Informado,Não Informado,Não Informado,Não Informado
Christiane Martins de Lanna Salles Carvalho,Não Informado,Não Informado,Não Informado,Não Informado
Vitor Marcel Faça,Não Informado,Não Informado,Não Informado,Não Informado
Leandro de Santis Ferreira,Não Informado,Não Informado,Não Informado,Não Informado
Sandra Rodrigues Pereira Faça,Não Informado,Não Informado,Não Informado,Celio Lopes Silva - Daniela Maria Tomazela - Fabio Cícero de Sá Galetti - Vitor Marcel Faça
Renato Luis Tame Parreira,Não Informado,Não Informado,Não Informado,Não Informado
Hernane da Silva Barud,Não Informado,Não Informado,Não Informado,Não Informado
Álvaro de Baptista Neto,Não Informado,Não Informado,Não Informado,Não Informado
José Carlos Borges,Não Informado,Não Informado,Não Informado,Não Informado
