Empresa,Título,Resumo
MRA Indústria de Equipamentos Eletrônicos Ltda,Desenvolvimento de sistema de monitores de radiação ionizante,"A empresa desenvolve pesquisa em instrumentação biomédica, principalmente em projetos ligados ao controle de qualidade de imagem radiológica. O projeto pretende, numa primeira fase, compactar um sistema analisador de feixe de raios X com alteração em seu hardware de aquisição, visando facilitar a sua aplicação em programas de controle de qualidade na área de saúde. Na compactação do sistema serão avaliados alguns microcontroladores disponíveis no mercado, de tal modo a proporcionar a conexão do modulo de aquisição a um notebook. Pretende, ainda, levantar dados visando estudar o comportamento do sistema com feixe de raios X gerados por alimentação elétrica de meia onda e onda completa e pesquisar materiais, construir um protótipo da câmara de ionização e estudar seu comportamento para a energia de fótons utilizada em radiodiagnóstico. Na segunda fase pretende-se produzir os protótipos dos equipamentos, medidores de kVp, taxa de dose, dose, tempo de exposição, camada semi-redutora, filtragem inerente, compactos conforme a exigência de mercado. (AU)"
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Plataforma para promoção da polinização inteligente: aumento da produtividade e qualidade de culturas e mel,"No Brasil apesar de a polinização agrícola ser de grande importância, o mercado de polinização é ainda incipiente, tendo marginalmente se desenvolvido nas culturas de melão no Nordeste e maçã em Santa Catarina. A contratação dos serviços é feita de forma informal facilitada sob demanda por associações de apicultores da região. Gerenciar a disponibilidade das colmeias a partir dos ciclos de produção de cada cultura agrícola, otimizando os ganhos de produtividade tanto para o produtor agrícola quanto para o apicultor é um desafio a ser enfrentado para expansão do uso das abelhas na polinização agrícola. Para atingir este objetivo propõe-se um sistema que seja capaz de automatizar o gerenciamento dos processos de contratação e manejo das colmeias, assim como o acompanhamento do processo de polinização e a análise dos resultados obtidos na colheita. Baseado nos conceitos de economia compartilhada o software multiplataforma realizará a intermediação entre apicultores e agricultores, adicionando serviços de logística como transporte e armazenamento e, posteriormente, serviços de coleta de dados, acompanhamento da produção, análise de resultados e consultorias. Oferecendo assim uma solução fim-a-fim para apicultores e agricultores, levando em conta as particularidades de cada cultura e os ciclos de produção de mel. Inicialmente o sistema fará o mapeamento das culturas agrícolas polinizáveis e os apicultores por região, criando assim um banco de dados das abelhas disponíveis e as culturas em que elas poderiam ser utilizadas. O software também disponibilizará sistemas de pagamentos para intermediar e facilitar transações financeiras entre agricultores, apicultores e terceiros. Visando disseminar conhecimento técnico-cientifico o sistema divulgará informações essenciais para o manejo das abelhas, através de vídeos explicativos gravados por especialistas da área. Em suma, o software irá disponibilizar ao usuário (apicultor), as floradas mais próximas que requerem polinização e sua localização e área, assim como disponibilizará ao usuário produtor, os apicultores mais próximos e qual(is) abelha(s) e quantidade de colmeias estão disponibilizadas naquele momento, visando juntar interesses a um menor custo de logística para a promoção da polinização, aumento da produtividade agrícola e qualidade dos alimentos, além de, como uma externalidade do projeto, poder oferecer aumento de produtividade de mel. (AU)"
F W Grillo - ME,Simuladores sintéticos do tecido biológico para treinamento em procedimentos médicos guiados por ultrassom: amniocentese,"Os simuladores sintéticos são objetos que permitem a reprodução de uma ou mais características do tecido humano, visando o treinamento de habilidades práticas para profissionais da área da saúde. Os objetos podem ser criados através de duas técnicas: moldagem ou manufatura aditiva (impressão 3D). A tecnologia impressão 3d pode ser aplicada em dados obtidos por tomografia computadorizada ou ressonância magnética. A determinação do material a ser utilizado nos simuladores varia de acordo com a finalidade do treinamento, podendo envolver desde gelatina animal até polímeros sintéticos. Em treinamento de procedimentos guiados por ultrassom, por exemplo, os mimetizadores devem ter um comportamento físico semelhante ao do tecido humano, pois serão utilizados em conjunto com equipamentos que são configurados para execução dos procedimentos clínicos. Sendo assim, esse projeto visa o desenvolvimento de simuladores para procedimentos médicos, que possam atender, a priori, a demanda nacional. O estudo realizado no PIPE fase I, mostrou indícios de que será possível criar uma série de simuladores, devido às variações de materiais que foram caracterizadas, aliadas a experiência obtida para confecção de moldes e modelos. Desta forma, será possível atender mais modalidades de treinamento do que a prevista no início do projeto. Sendo assim, esta fase II tem por objetivo principal o desenvolvimento de um modelo complexo, para treinamento de amniocentese, além de prever o desenvolvimento de subprodutos ao longo do projeto. (AU)"
Progenix Pesquisa e Artigos para Laboratório Ltda,Medicina veterinária de precisão: desenvolvimento de plataforma de análise de microbiota voltada para a saúde dos animais de estimação,"Atualmente, sabe-se que um ecossistema intestinal equilibrado é vital para a saúde dos cães e gatos. Estima-se que o intestino dos cães e gatos contenham dez vezes mais microrganismos do que as células intestinais e a saudável interação desta microbiota resulta em diversas interações orgânicas benéficas. Estudos feitos por laboratórios norte-americanos envolvendo a análise do microbioma bacteriano intestinal de cães e gatos apontam uma relação entre as alterações das populações bacterianas de animais saudáveis e animais não saudáveis, indicando que o desequilíbrio na composição da microbiota intestinal pode estar diretamente relacionado a síndromes metabólicas como a obesidade e a diabetes Mellitus e em enteropatias crônicas. Dessa forma, esse conhecimento é fundamental para auxiliar na utilização de terapias e dietas que visam reestabelecer uma microbiota saudável. No entanto, estudos destinados a verificar a correlação entre o desenvolvimento de doenças gastrointestinais e alterações da microbiota em cães e gatos ainda não foram realizados no Brasil. Os estudos da microbiota, da nutrigenômica e da gastroenterologia no campo da medicina veterinária são recentes. A empresa proponente do presente projeto é uma startup graduada na edição de 2019 do programa de aceleração do Founder Institute (https://fi.co/) e desenvolveu um teste de diagnóstico da microbiota para cães baseado em análise de Next Generation Sequencing (NGS). Dessa forma, construímos um produto mínimo viável (MVP) para diagnóstico de microbiota intestinal em animais de estimação. Assim, neste projeto Fase 1 focaremos na construção de um banco de dados de animais de estimação brasileiros (focados em um primeiro momento em cães) saudáveis e clinicamente com enteropatias crônicas, visando o estabelecimento de uma plataforma comercializável que auxiliará o médico veterinário no diagnóstico. Este método de diagnóstico, inovador no Brasil, permitirá ao médico veterinário prevenir diversas doenças, além de tratá-las de forma mais assertiva, resultando em redução dos custos de tratamento e melhores prognósticos. (AU)"
Inanocare Ltda. - ME,Desenvolvimento de uma plataforma dermocosmética composta por máscaras faciais eletro-estimuladas,"Atualmente, a preocupação com a estética tem crescido progressivamente, tanto para homens quanto para mulheres, o que aumenta o uso de cosméticos e leva à expansão das indústrias cosméticas. Para melhorar a saúde da pele, principalmente a da face, o uso de máscaras faciais tem sido cada vez mais recomendado por dermatologistas, tanto para fins estéticos quanto para tratamento de doenças da pele. As máscaras disponíveis no mercado clamam contribuir para uma melhor hidratação, firmeza e uniformidade da pele. Geralmente, no entanto, apresentam efeitos restritos à sua superfície, ou seja, o seu conteúdo fica limitado ao estrato córneo, camada mais externa da pele e os resultados costumam ser passageiros. Para a obtenção de resultados mais duradouros, os cuidados com a pele facial estendem-se para clínicas estéticas e dermatológicas, onde estímulos elétricos vêm sendo aplicados para a ativação e proliferação celular e estímulo da circulação sanguínea. O objetivo deste projeto é desenvolver máscaras faciais cosméticas passíveis de serem eletro-estimuladas pelo próprio consumidor. Géis condutores serão preparados a partir de polímeros que confiram propriedades físico-químicas ideais à formulação e que contribuam para o tratamento da pele, como a fibroína da seda e o ácido hialurônico. A fibroína da seda é um polímero natural extraído do casulo do bicho da seda, biodegradável, biocompatível, maleável e que pode contribuir para a sedosidade da pele. O ácido hialurônico, polímero natural constituinte da pele, é essencial para uma pele firme, hidratada e elástica. Serão avaliadas as propriedades reológicas e bioadesivas do gel na presença de sais condutores de corrente elétrica, assim como sua capacidade de conduzir uma corrente elétrica constante de baixa intensidade por período pré-determinado. Para aplicação da corrente elétrica (0,1, 0,2 e 0,4 mA) será desenvolvido um equipamento controlado por um arduíno que poderá ser conectado a um celular ou a um """"power banking"""" via porta USB. Esse equipamento será controlado por um aplicativo de celular que permitirá que o consumidor escolha tanto a intensidade da corrente elétrica quanto o tempo de tratamento. O gel e eletrodos serão acoplados a um suporte físico, de material similar à um tecido sintético para construção da máscara facial. A melhor disposição e a quantidade de eletrodos necessário, o efeito da aplicação da corrente elétrica no gel e na liberação e penetração cutânea do ácido hialurônico serão avaliados in vitro, utilizando-se pele de orelha de porco. A capacidade de adesão e contato íntimo da máscara com todas as reentrâncias de um rosto também será avaliada. Estudos in vitro, em cultura de células de fibroblastos dérmicos humanos serão realizados para verificar se a produção de colágeno é aumentada quando em contato com o gel e estímulos elétricos. É esperado que o produto desenvolvido tenha grande aceitação pelo mercado consumidor, tanto pela facilidade e comodidade de utilização quanto pelo preço acessível. A máscara eletro-estimulada é uma inovação na dermocosmética, já que une a ação tópica de hidratação, firmeza e uniformidade com a capacidade de promover a penetração de substâncias ativas para as camadas mais profundas da pele, como é o caso do ácido hialurônico, constituinte essencial da epiderme viável. Além disso, esse produto inovador permitirá a aplicação de estímulos elétricos na pele pelo próprio consumidor, de forma simples, segura e rápida. Atualmente, no Brasil, esse tratamento está disponível apenas em clínicas dermatológicas. (AU)"
Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda,Identificação e screening biológico na busca por agentes antimicrobianos produzidos por actinobactérias contra o cancro cítrico,"O cancro cítrico (Xanthomonas citri subsp. citri, Xcc) é uma fitopatologia que ocorre endemicamente nas principais regiões citrícolas do Brasil e seu impacto nos pomares pode acarretar expressivas perdas na produtividade e econômica. A doença não tem cura e o controle químico com pesticidas cúpricos é a principal medida empregada pelos produtores para prevenir a entrada da doença nos pomares. No entanto, o uso contínuo de cobre tem suscitado preocupações devido a impactos relacionados a saúde humana e no ecossistema, segurança alimentar, indução de mecanismos de resistência pela bactéria Xcc e aos efeitos adversos provocados nas plantas cítricas. A existência de produtos ambientalmente corretos e eficazes contra o cancro cítrico possibilitaria reduzir e/ou substituir o uso de cobre no campo. Neste sentido, agentes de controle biológico, em especial os micro-organismos, representam alternativas promissoras ao uso de defensivos químicos na agricultura. Sendo assim, a proposta deste projeto é o desenvolvimento de um biodefensivo agrícola eficaz e ambientalmente seguro para o manejo mais sustentável do cancro cítrico como alternativa ao cobre utilizando como agente biológico actinobactérias. As actinobactérias são micro-organismos potenciais na busca por ativos antimicrobianos por sua capacidade intrínseca de produzir metabólitos secundários bioativos, especialmente antibióticos. No Brasil, não há biodefensivos comerciais registrados para o cancro cítrico produzido a base de actinobactérias. Na Fase 1 do projeto conseguiu-se identificar diferentes isolados de actinobactérias com potente efeito protetivo contra o cancro cítrico por meio de ensaios in vitro e in vivo em mudas de laranja Pera, comprovando a viabilidade técnico-científica da proposta. Com a execução da Fase 2 almejamos desenvolver o nosso produto em escala piloto vislumbrando a comercialização de um biodefensivo inédito no mercado nacional. Para tanto, iremos realizar o Scale-up da escala produtiva; desenvolver uma formulação visando otimizar a eficácia do produto em campo, facilitar a aplicação, prolongar a estabilidade e tempo de prateleira para a comercialização e avaliar a eficiência do produto formulado em campo. Atingindo estes objetivos, ao final deste projeto teremos o protótipo do biodefensivo produzido com ativos de actinobactérias devidamente padronizado. Na citricultura, a produção brasileira de laranja é a maior do mundo e responde por mais de 60% do total de suco produzido e 80% do mercado internacional, sendo essa uma das principais cadeias de valor do agronegócio brasileiro. Com o desenvolvimento do biodefensivo para o controle do cancro cítrico, a Actinobac irá contribuir para minimizar as perdas e tornar a citricultura brasileira mais rentável e sustentável. (AU)"
In Situ Terapia Celular Ltda,Avaliação da segurança e eficácia de biocurativos 3D contendo células mesenquimais em pacientes portadores de feridas complexas,"A pele desempenha funções vitais ao organismo, e a perda de sua integridade, como observado em feridas complexas, resulta em um conjunto de complicações. Patologias de base, como a anemia falciforme, estão comumente relacionadas ao desenvolvimento de feridas crônicas. Essas feridas, bem como outras lesões graves de pele tais como as ocasionadas por queimaduras profundas e extensas estão associadas a piores prognósticos, longos períodos de tratamento e altos custos para os sistemas de saúde. Diversas alternativas terapêuticas encontram-se disponíveis, porém existe uma gama de pacientes refratários às terapias convencionais. Nesse contexto, a medicina regenerativa por meio da terapia celular tem emergido como alternativa terapêutica para esses pacientes. Dentre as células utilizadas terapeuticamente, as células mesenquimais (CMs) destacam-se principalmente por suas propriedades imunomoduladoras e regenerativas. Contudo, o método para administração dessas células representa um desafio para a translação da terapia celular. Assim, a utilização de estratégias da engenharia de tecidos e da bioimpressão tridimensional (3D) permite a obtenção de estruturas celulares tridimensionais reprodutíveis, garantindo não só a manutenção do potencial terapêutico das células como também a segurança do processo de terapia celular e seu fornecimento de maneira menos invasiva aos pacientes. Dessa forma, o presente projeto visa utilizar biocurativos 3D desenvolvidos pela startup In Situ Terapia Celular para o tratamento de feridas complexas em regiões doadoras de pacientes queimados e pacientes portadores de anemia falciforme. Esses biocurativos, produzidos pela técnica de bioimpressão 3D contém células mesenquimais derivadas do cordão umbilical humano. Uma vez que feridas complexas acarretam grandes prejuízos aos indivíduos, além de gastos elevados, acreditamos que esse projeto de pesquisa possa embasar a terapia celular por meio da utilização de biocurativos 3D como alternativa de tratamento para esses pacientes, melhorando seu prognóstico e qualidade de vida, bem como minimizando o ônus que o tratamento dessas feridas representa aos sistemas de saúde. Além disso, o biocurativo 3D é um produto de tecnologia nacional, o que pode facilitar o acesso dos brasileiros à terapia celular. (AU)"
Thiago Franco,Enfermagem 4.0 - inteligência artificial aplicada na elaboração automática de escalas de trabalho em organizações de saúde,"A elaboração de escalas de trabalho para equipes de enfermagem, do inglês """"Nurse Rostering Problem"""" (NRP) é uma das tarefas que mais exige habilidade dos gestores. É necessário equilibrar mensalmente em um único arranjo as questões legais, os acordos sindicais, as regras institucionais, as imposições da natureza do trabalho e as necessidades da equipe. Diante de uma conjuntura tão delicada e complexa torna-se extremamente necessário que o gestor disponha de ferramentas eficientes que auxiliem na elaboração dessa estrutura. Hoje a grande maioria das empresas - independentemente do porte ou área de atuação - não possui nenhuma ferramenta de apoio para organizar o trabalho de seus colaboradores. Do ponto de vista computacional, o NRP é, na maioria das vezes, um problema NP - difícil e devido à sua natureza combinatorial, a pesquisa nesse domínio ainda é uma fronteira do conhecimento a ser explorada. Nesse projeto, propõe-se a investigação de Algoritmos Genéticos, os quais tem sido sido utilizados com sucesso para a problemas de otimização complexos. Palavras-chave: Escalas de Trabalho, Algoritmos Genéticos, Otimização. (AU)"
In Situ Terapia Celular Ltda,Validação in vivo do bioenxerto gengival bioimpresso à base de células mesenquimais em scaffold de ácido hialurônico,"Recessão gengival é uma condição caracterizada pela exposição oral da superfície da raiz devido a um deslocamento da margem gengival apical à junção cemento-esmalte. As consequências mais comuns da recessão gengival são a deterioração da estética dentária, bem como a hipersensibilidade da dentina e até mesmo a perda do dente. Atualmente, um dos procedimentos mais utilizados para o recobrimento radicular é o que é utilizado enxerto do tecido conjuntivo mais retalho posicionado coronalmente (CTG + CAF). Porém, cirurgias que envolvem a coleta de enxerto são demoradas e podem ter uma alta morbidade, devido à necessidade de um segundo local cirúrgico, além de aumentar o desconforto do paciente, sangramento pós-cirúrgico e suprimento limitado de tecido doador. Por esses motivos, são propostas técnicas cirúrgicas alternativas ao CTG + CAF e também o uso de alguns produtos para obter redução das recessões gengivais. Diferente de todos os produtos encontrados no mercado, desenvolvemos um bioenxerto baseado em terapia celular que é composto por um scaffold de ácido hialurônico (AH) e que contém células mesenquimais (CM) incorporadas. Essa biotinta é bioimpressa em uma bioimpressora 3D o que confere escalonabilidade a produção que é totalmente baseada em conceito GMP (Good Manufacturing Practice). Durante a primeira fase de desenvolvimento do bioenxerto foi estabelecido o protocolo de obtenção do biomaterial a base de AH que apresentou textura e condições de bioimpressão e de manuseio. Assim que foram determinadas as condições do biomaterial, foi demonstrado que esse scaffold e o processo de bioimpressão não prejudicam a viabilidade das CMs contidas. Além disso, foi verificado in vitro que o bioenxerto não é citotóxico para células pertencentes a mucosa oral como os queratinócitos gengivais e que promove a proliferação de fibroblastos gengivais humanos (FGH) de maneira dose dependente, sendo, portanto, o bioenxerto com 1,5x105 CMs o que possui maior capacidade de estimular a multiplicação dos FGHs. Somado ao efeito proliferativo do bioenxerto, verificamos in vitro que este produto também é capaz de promover maior migração de FGH. Uma vez que a quantidade de CMs para a obtenção dos resultados biológicos foi determinada e que propriedades biológicas favoráveis foram demonstradas durante a prova de conceito, estudos posteriores são necessários para que seja verificado o efeito terapêutico dos bioenxertos no tratamento de modelos de recessão gengival in vivo, focando as análises nos parâmetros exigidos pela ANVISA para a liberação dos testes em humanos futuramente. Além disso, também objetivando a entrada deste produto no mercado é necessário estabelecer as condições adequadas para armazenamento e transporte dos bioenxertos para que os mesmos sejam configurados como produtos viáveis. (AU)"
Bind Pesquisa e Desenvolvimento Ltda,Síntese de nitrosaminas derivadas de IFAs ou produtos de degradação para aplicação como padrões analíticos pela indústria farmacêutica,"Nitrosaminas compõe a classe de compostos N-Nitroso, conhecidos por serem potentes agentes mutagênicos e/ou carcinogênicos. Estruturalmente, são compostos caracterizados pela presença do grupo funcional nitroso ligado diretamente a um átomo de nitrogênio. Nitrosaminas podem ser formadas através de diferentes caminhos sintéticos, sendo mais comum pela reação de aminas secundárias/terciárias, amidas, carbamatos e derivados de ureia com nitrito ou outro agente nitrosante. Desde a identificação das primeiras contaminações por nitrosaminas em medicamentos em 2018, N-nitrosodimetilamina (NDMA) e N-nitrosodietilamina (NDEA), em valsartana, losartana, ibesartana, vários outros casos foram reportados (ranitidina, pioglitazona, metformina, rifapentina, rifampicina). Este fato está associado ao mecanismo de formação de nitrosminas, o qual requer apenas a presença de uma fonte de amina, um agente nitrosante (íon nitrônio) ou oxidante e condições favoráveis no processo produtivo como um todo, desde a fabricação do IFA e até a formulação e embalagem do medicamento. Sendo que geralmente processos de fabricação utilizam aminas e nitritos são contaminantes comuns de reagentes, excipientes e até mesmo água e processo. Diante deste cenário atual de preocupação global, importantes agências regulatórias de medicamentos, como EMA, FDA e Anvisa (Agência Nacional de Vigilância Sanitária), impuseram medidas de controle as empresas. Definiu-se que todas as empresas detentoras de registro de medicamento deveriam avaliar todos os produtos de seus portifólios em relação ao risco de contaminação por nitrosaminas. De modo que se deve avaliar tanta rota do IFA quando sua estrutura e reatividade química e seus produtos de degradação frente a possibilidade de nitrosação em presença de agentes nitrosantes. A partir dessa análise, deve-se determinar quais nitrosaminas seriam possíveis de formação e carreamento para o medicamento. O carreamento da impureza quando possível, deve ser avaliado analiticamente através de métodos desenvolvidos e validados utilizando padrões analíticos específicos. A viabilidade técnica do projeto foi avaliada com base nas metodologias de obtenção de compostos N-nitrosos, as quais são conhecidamente simples e de baixo custo, estando aliadas a capacidade técnica do time, verificou-se baixo risco na execução do projeto. Assim como o desafio técnico, avaliou-se também o desafio comercial de entrada no mercado. Este foi planejado para ser realizado através da captação de demandas pela empresa já constituída dos sócios, EPHAR, a qual realiza atualmente serviços analíticos gerais para diversas empresas farmacêuticas nacionais. Além disso, avaliou-se a presença de competidores, verificou-se que algumas empresas iniciaram esforços para a produção de padrões de das nitrosaminas mais comuns. Entretanto, estes padrões não refletem a real necessidade do setor, visto que a formação de nitrosaminas pode se dar a partir da estrutura do IFA ou seus produtos de degradação. Assim, diante deste cenário de obrigatoriedade de avaliação de nitrosaminas, da viabilidade técnica e comercial da proposta, uma vez que verifica-se ausência de padrões analíticos específicos para IFAs, a presente proposta tem como principal objetivo o desenvolvimento de uma plataforma de serviços de síntese de padrões analíticos N-nitrosos derivados de IFAs e produtos de degradação para empresas farmacêuticas visando suprir a necessidade destes em relação a seus processos de desenvolvimento analítico para avaliação de nitrosaminas. (AU)"
Yosen Indústria e Comércio de Produtos para Saúde Ltda,Aplicação de coenzima Q10 nanoencapsulada como ingrediente pela indústria de alimentos: viabilidade tecnológica e bioacessibilidade do bioativo em iogurtes,"A coenzima Q10 (CoQ10) é uma substância antioxidante produzida pelo organismo humano, que apresenta atividades fundamentais em diversos processos bioquímicos, incluindo a respiração celular. A capacidade do organismo em produzi-la, no entanto, é reduzida com o processo de envelhecimento, fazendo-se necessária uma ingestão regular de CoQ10 por meio de suplementos ou alimentos fortificados. Embora o comportamento da CoQ10 em suplementos seja bem conhecido, a incorporação deste bioativo em matrizes alimentícias ainda é um desafio devido à sua baixa solubilidade e bioacessibilidade.Sabe-se, porém, que tais desvantagens podem ser reduzidas com a encapsulação desse bioativo em sistemas lipídicos, utilizando-se, por exemplo, nanoemulsões. Nesse sentido, a Yosen, start up brasileira especializada em sistemas de liberação lipídicos nanoestruturados, desenvolveu uma formulação baseada em nanoemulsão contendo coenzima Q10 (identificado neste documento como NEQ10), que apresenta excelente estabilidade físico-química e alta solubilidade em água. Considerando-se o elevado valor nutricional da CoQ10 e o interesse da indústria de alimentos no desenvolvimento de produtos funcionais, a Yosen tem grande interesse em introduzir a NEQ10 como um ingrediente no setor, a começar por sugerir aplicações em produtos lácteos. Nesse sentido, em um estudo prévio, o efeito da incorporação de NEQ10 às propriedades físico-químicas e estabilidade de iogurtes comerciais foi avaliado e os resultados obtidos foram muito promissores (conforme consta em documento anexo à presente proposta). Embora os dados obtidos sejam interessantes, sabe-se que a incorporação de sistemas de liberação lipídicos nanoestruturados a produtos alimentícios (principalmente com textura gelificada, como é o caso de iogurtes) pode alterar suas propriedades reológicas e afetar sua aceitação pelo consumidor. Além disso, e bastante importante, sabe-se que a presença de bioativos, como a CoQ10, em formulações alimentícias não garante a bioacessibilidade do composto após o processo de digestão. Nesse sentido, para avaliar os possíveis ganhos nutricionais envolvidos na incorporação do potencial insumo desenvolvido pela Yosen aos iogurtes, o presente projeto PIPE tem como objetivo avaliar a incorporação da nanoemulsão NEQ10 em iogurtes e avaliar a bioacessibilidade para a verificar a viabilidade técnica e econômica do produto. Para isso, quatro principais atividades serão desenvolvidas ao longo desse projeto PIPE - fase I:(I)Análises reológicas (curvas de fluxo) dos iogurtes ao longo do período de armazenamento (resultados prévios - vide em documento em anexo);(II)Quantificação de coenzima Q10 nas amostras de nanoemulsão produzida pela Yosen, ao longo do tempo de armazenamento;(III)Quantificação de coenzima Q10 nas formulações de iogurtes em ao longo do período de armazenamento;(IV)Ensaios para a determinação da bioacessibilidade (BA) da coenzima Q10 nos iogurtes, através de ensaios de digestão in vitro. Ao final do projeto, espera-se: (a) verificar e quantificar possíveis alterações reológicas dos iogurtes, decorrentes da incorporação das diferentes concentrações da coenzima Q10 nanoencapsulada; (b) verificar a existência de alterações de estabilidade da coenzima Q10 nanoencapsulada após sua incorporação nos iogurtes; (c) avaliar a estabilidade da coenzima Q10 nanoencapsulada ao longo do processo digestivo simulado, ao longo do período de armazenamento. Dessa forma, os resultados deverão auxiliar na compreensão da bioacessibilidade de tal bioativo e eventuais ganhos nutricionais envolvidos na inclusão do nanoencapsulado da Yosen nas formulações de iogurte. (AU)"
In Situ Terapia Celular Ltda,Formulação de uso tópico contendo exossomos derivados de células mesenquimais para o tratamento de feridas,"As feridas, crônicas e agudas, representam um problema crescente não só para os pacientes como também para sistemas de saúde de maneira geral e existe uma gama de pacientes refratários às terapias convencionais. Sendo assim, novas tecnologias usando os princípios da medicina regenerativa e engenharia tecidual estão constantemente sendo incorporadas em terapias inovadoras para o tratamento de feridas. Nesse contexto, a medicina regenerativa por meio da terapia celular e mais recentemente, a terapia com exossomos, tem emergido como alternativa de tratamento para esses pacientes. Dentre as células utilizadas terapeuticamente, as células mesenquimais (CMs) destacam-se principalmente por suas propriedades imunomoduladoras e regenerativas. Grande parte do potencial terapêutico dessas células vem sendo atribuído à secreção de moléculas bioativas muitas vezes contidas em suas vesículas extracelulares (VEs), ou mais especificamente nos exossomos. Em uma primeira abordagem, a In Situ Terapia Celular desenvolveu um biocurativo 3D contendo CMs para o tratamento de pacientes portadores de feridas crônicas e queimaduras graves. Entretanto, sabendo do potencial terapêutico das VEs que são secretadas pelas células no meio de cultivo, iniciamos o desenvolvimento do nosso segundo produto que é uma formulação de uso tópico para o tratamento de feridas, contendo exossomos que são reciclados do meio de cultivo celular durante o processo de fabricação dos biocurativos. Na primeira fase desse projeto mostramos que os exossomos purificados em escala laboratorial usando o protocolo de ultrafiltração/ultracentrifugação apresentaram características biológicas satisfatórias e capacidade de estimular a proliferação de fibroblastos in vitro, e que a formulação em gel de uso tópico contendo esses exossomos apresentou-se como não fototóxica e não irritante em ensaios in vitro de segurança.  A integridade dos exossomos é essencial para a sua atividade biológica e é, portanto, um dos principais requisitos para o desenvolvimento de métodos de isolamento em larga escala. Sendo assim, o objetivo deste projeto é otimizar uma plataforma de obtenção de exossomos derivados de CMs através da implantação do isolamento em larga escala de tal maneira que garanta a manutenção das propriedades regenerativas dessas VEs, assim como incorporar esses exossomos a uma formulação de uso tópico destinada ao tratamento de feridas de pele.  Para tal, CMs derivadas de cordão umbilical humano serão isoladas e cultivadas seguindo as condições GMP (Good Manufacturing Practice). Os exossomos secretados pelas CMs no meio de cultura serão isolados utilizando um sistema de filtração de fluxo tangencial (TFF) e caracterizados. A caracterização dos exossomos será feita por análise de tamanho, imunofenotipagem, western blotting e análise de expressão de MicroRNAs. Após a caracterização, os exossomos serão incorporados a formulações de uso tópico que serão testadas no modelo experimental de ferida em camundongos. A aceleração do processo de cicatrização das feridas indicará a eficácia terapêutica das formulações contendo os exossomos. Os mecanismos envolvidos no processo de regeneração tecidual serão avaliados por análises histopatológicas e imunológicas. Dessa maneira, a partir dos resultados obtidos nesse projeto, e continuando com os testes clínicos em uma fase posterior, acreditamos que iremos inserir no mercado um produto de medicina regenerativa seguro e eficaz para o tratamento de feridas baseado em exossomos de CMs. Nosso propósito é desenvolver um produto inovador que irá beneficiar pacientes carentes de soluções efetivas para o tratamento de feridas. (AU)"
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Desenvolvimento e validação de processo de multiplicação de colmeias de abelhas Apis mellifera para uso comercial,"A demanda por colmeias de Apis mellifera no Brasil é notória. O país possui enorme potencial para exploração comercial dessas colmeias, seja para fins de produção de mel ou outros produtos apícolas, seja para utilização na polinização aplicada. É um mercado que movimenta anualmente no país mais de US$ 120 milhões, mas que não figura entre os 10 maiores produtores de mel no mundo e não atende nem 2% da área plantada de soja no Brasil para fins de polinização comercial, por exemplo. A AgroBee está desenvolvendo esse importante mercado da polinização. Os resultados do projeto anteriormente realizado com apoio da FAPESP, FINEP e com recursos próprios da empresa, que gerou o App """"Uber das Abelhas"""", está revolucionando o mercado, e um novo gargalo com potencial de limitar a escalabilidade do projeto passou a ser a quantidade de colônias de abelhas disponíveis no Brasil. Dessa forma, o desenvolvimento de uma metodologia otimizada para multiplicação dessas colmeias, visando uma produção em larga escala e com custos acessíveis, se faz necessária. Atualmente o mercado nacional de multiplicação e vendas de colmeias de A. mellifera é limitado, seja pela entrega, que usualmente ocorre em poucas colmeias por vez, seja pelos valores, que muitas vezes são altos, e principalmente pela falta desses fornecedores. Dessa forma, o presente projeto pretende desenvolver uma metodologia otimizada de multiplicação de colmeias em larga escala, avaliando a eficácia dessa metodologia quanto ao tempo necessário para execução do processo, alimentação mais adequada, e qualidade final das colmeias, de acordo com as necessidades que a utilização comercial para fins de produção de mel ou polinização aplicada exige. Serão realizados dois momentos de multiplicação em larga escala, visando avaliar a reprodutibilidade do método. Ao final do projeto, espera-se conseguir validar esse método de multiplicação visando capacitar/treinar os criadores de todo o país, apresentando essa solução frente à crescente demanda por colmeias que se identifica no Brasil. Além de apresentar esses resultados para comunidade científica, através de palestras e manuscrito científico, como para o mercado. (AU)"
